Model,Accuracy,F1 Score (weighted)
Bag of Words - Logistic Regression,0.7733333333333333,0.7737146290638404
TF-IDF - Linear SVM,0.7573333333333333,0.7575622029525866
TF-IDF - Logistic Regression,0.7493333333333333,0.7454836120321658
Bag of Words - Naive Bayes,0.7226666666666667,0.7220857286306281
Bag of Words - Linear SVM,0.7226666666666667,0.7232171795207006
TF-IDF - Naive Bayes,0.6853333333333333,0.6769973803192149
Embeddings - Random Forest,0.64,0.6231027085106512
TF-IDF Weighted Embeddings - Random Forest,0.6186666666666667,0.6103094593858964
TF-IDF Weighted Embeddings - Logistic Regression,0.576,0.5688447269922461
Embeddings - Logistic Regression,0.5653333333333334,0.5487187739463601
Embeddings - Linear SVM,0.5653333333333334,0.5438200914514977
TF-IDF Weighted Embeddings - Linear SVM,0.5626666666666666,0.5472187786296703
